,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
242131,5,True,"06 13, 2016",A1Y57FOL24FVL1,B000YDTMP2,Brian,Very good stuffed olives.,Five Stars,1465776000,,{'Flavor:': ' Bleu Cheese'},
1024249,5,True,"03 27, 2018",A2WQ6QDCK4NHQM,B000B6KQZW,TM,"Works as described, Thank you.",Five Stars,1522108800,,{'Size:': ' 14 Ounce'},
335049,5,False,"04 2, 2016",A28UTY8OHNEM1O,B001HTR1ZU,Minna C,They're chips and taste awesome.,Five Stars,1459555200,,,
710479,5,True,"08 28, 2015",A2MUZBZ56ZM8IZ,B00DB55JWK,Scooter,I love the salt and pepper.,Five Stars,1440720000,,,
328385,5,True,"02 19, 2015",ANVQB8GKFDCRT,B001G8UC8K,T. Hiemenz,My wife loves these (I do not) but this sure is A LOT of tootsie rolls,This a BIG bag of candy!,1424304000,,{'Size:': ' 1 Bag'},
532793,5,True,"02 22, 2016",AOT1K6EYPBHYO,B005K4Q1T0,The Studious One,I bought this for my daughter and I was worried because it is cheaper than the others.  She loved it!  She says that it is every bit as good as the others!,Hot Cocoa,1456099200,,"{'Size:': ' 24 Count', 'Flavor:': ' Milk Chocolate'}",
192956,5,True,"02 4, 2018",A3M2RLDZG1X9F0,B000Z978SS,Debra Potts,No aftertaste.  I've used it in many dishes instead of sugar and it's great.  It is a corn product so be aware of that.,Great sugar substitute.,1517702400,,{'Size:': ' 1 lb'},
579521,5,True,"07 12, 2014",A1M37LBGBMF0CO,B0077DMWO0,cats1usa,"This helped me recover after my esophagectomy, clear liquid diet and sodium free, excellent flavor.",A great product,1405123200,,{'Size:': ' 50 Packets'},
1105089,5,False,"06 17, 2017",A2Z5KMOGMCKKOF,B00F3D0ONC,CARL STRANO,IT'S THE TASTE......THE TASTE!!!,Five Stars,1497657600,,,
882005,5,True,"11 2, 2016",AVTEBPDTN19KE,B00PO9NHES,MessengerAngel03,My favorite tea!  I love the spicy sweat quality that this tea blends together.  I usually drink it black as no sweetener is needed but sometimes I add a herbal apple spice tea to give it more of a fall feeling.,My favorite tea,1478044800,,,
222599,5,True,"01 2, 2016",A22X7MGVUX93MY,B00168DOO4,Amazon Customer,YUM YUM YUMMY,Five Stars,1451692800,,,
954300,5,True,"01 11, 2016",A3NUEIBP27DTBK,B011J478G4,ainafetse,Great taste! I will buy again.,Five Stars,1452470400,,{'Size:': ' 4 Ounces'},
412245,5,True,"02 17, 2017",A1T5SH7TRJ8KWY,B0039QQX8A,HLT,"So very perfect. I used to use Chinese cave mushrooms, cannot remember the name now. but later there has been the issue of cooking time. These mushrooms take longer to reach tenderness that the freeze dried vegetables, another great product, so cook the mushrooms first, about thee to 4 minutes before adding dried vegetables. I get hungry just thinking about cooking them all. I Have even used them on a vegetarian pizza.",So very perfect. I used to use Chinese cave mushrooms,1487289600,,"{'Size:': ' Single', 'Flavor:': ' Quart Size Jar'}",
831521,3,True,"09 25, 2014",A3NXZU19G7JMPW,B00KC45AWM,J&amp;amp;TBL,Too expensive to buy again.,Okay.,1411603200,,{'Size:': ' 2 Pack'},
990549,5,False,"09 29, 2017",A3TJSWA0W9ITYE,B01BIXFM46,Emily Volenec,"Delicious! This blend of nuts is amazing, and if you have a peanut allergy, perfect blend.","This blend of nuts is amazing, and if you have a peanut allergy",1506643200,,"{'Size:': ' 24 Ounce', 'Flavor:': ' Deluxe Mixed Nuts'}",
1054732,3,True,"02 16, 2018",A2UIMLMH4T0V69,B001SJHNT8,"Leon Neiman,M.D.",it's okay,Three Stars,1518739200,,{'Flavor:': ' Kick Ass Dark'},
1141404,5,True,"01 24, 2018",AVTBDU2KGQOM1,B01DX3ODE4,curiouscat,Great product nice packaging,Yummy,1516752000,,,
151497,5,True,"12 3, 2016",A2BF6JNWGWFWI3,B000P6G0FI,amelia lawar,Really great!!,Five Stars,1480723200,,,
101333,4,True,"01 11, 2017",AO28915SHY4B5,B000GFYRK8,Georgie,"I like this tea, it's very tasty.  Can't find it in the store anymore, happy to find it here.",Very good tea.,1484092800,,{'Flavor:': ' Orange & Spice'},
89101,5,True,"08 9, 2017",AKGYYIM1KHJQB,B000FELX2U,Cindy McCredie,a friend wanted to try these out,Five Stars,1502236800,,,
991867,5,True,"10 25, 2017",A3JDX4KBKTOEAA,B01BLYNWVM,W. B. King,Very nice quality.  Quick ship. Thx!,Good and good for you!,1508889600,,{'Size:': ' 2 Pounds'},
162121,4,True,"06 3, 2009",A1G8BC99793QKB,B000SAVJVG,Prettytastyreviews blogspot,"This gum is good if you like the black licorice taste.
It is also sugar free, so will not cause cavities like the other licorice gums that usually contain sugar.
I had to take away 1 star as the gum is not as long lasting as I'd like.
But I also like that it is mentioned where the gum is made-in Turkey....not in China at least!

The price is also great!
I am also confused with the amount listed as when I bought it I called and was told you received 36 packages....so 3 boxes with 12 packages of gum in each.
Yes that is not a type-o it really was/is THIRTY SIX packages.

But maybe call first just to c onfirm in any case if they do change the listing.
Another thing, before I forget the gum has absolutely no mint in it. It is only black licorice flavour.
-I've seen licorice and mint together in gum before though...","Black licorice tasting gum, sugar free!",1243987200,5,,
951150,5,True,"04 16, 2018",A1XAOSE2QVMI1H,B010ULFOWC,Kathryn M.,Yes,Five Stars,1523836800,,"{'Size:': ' Single', 'Flavor:': ' Black Silk'}",
619926,4,True,"12 28, 2013",ABUVEZJ9H0FVW,B0096MNNMK,mybraydog,I love that  this bag has several flavors in it. I wished they did a mixed assortment in milk chocolate because I prefer milk over dark. They had a smooth flavor. Everyone enjoyed them in there candy/cookie gift I made. These are always fresh no matter what flavor I pick up.,great assortment,1388188800,,{'Size:': ' Assorted Dark Chocolate 9.3 Ounces'},
571496,5,False,"11 8, 2014",A2MVRVRGYSBCUO,B006V788T6,Donna Kent,Good and chewy!,Five Stars,1415404800,,,
886851,4,True,"11 22, 2016",A2948QWE72VNMQ,B00QFP3VSW,S,"I use it to flavor homemade kombucha.  It's ok, the taste isn't GOOD, but it's ok.  It super carbonates the kombucha.  I use about a teaspoon per 16oz bottle.",Ok flavor,1479772800,2,{'Size:': ' 16 oz'},
175622,1,True,"04 15, 2014",A2LLUDFIGD45UG,B000VMV2BI,TIFFANY,It is described as organic but no where on the bottle does it state this product is organic. don't be fooled,this is not organic,1397520000,4,,
927792,3,True,"01 8, 2018",A6AE4HQMQQ8YC,B00WQB12JO,Amazon Customer,"really nice, but not enough. their are about 6 cubes :(",to smal for price,1515369600,,"{'Size:': ' Medium', 'Flavor:': ' Coconut Almond'}",
1036691,4,True,"11 16, 2017",AX4NG9BDHGE1S,B000RLPJHQ,Justicepirate,I enjoy using this when I cook it with Alfredo sauce. Tasty.,Four Stars,1510790400,,,
986901,5,True,"01 13, 2017",A3M3BQT61UZA31,B01AO38MKW,cindi,yum,Five Stars,1484265600,,{'Size:': ' 5lb'},
50201,5,True,"03 19, 2009",A3QKWGU3LHSEL0,B000CQG8BC,Amazon Customer,"Stash is just the best tea.  Not too strong or bitter, just right.  My favorite tea.",Stash is best,1237420800,,{'Size:': ' 18 Count (Pack of 6)'},
1071822,5,False,"11 11, 2017",A1NFNB1OXVN7MZ,B004ZK3L8Y,Amazon Customer,"This is excellent oil for cooking and as a dressing. Aromatic and flavorful, great deal on a price if buying this large container, was shipped quickly and properly sealed.",This is excellent oil for cooking and as a dressing,1510358400,,,
135807,4,True,"04 24, 2012",A2TJ7RVA2HNM64,B000LQJT5K,Amazon Customer,"Yes they have 520 cal per pouch and yes there are 160 cal from fat, 40g of carbs and 1220mg of sodium all things that should be consumed in moderation.  However, for me it is a quick easy meal and covers one meal a day.  I actually prefer the picante ones better but these are a good change-up.  Deployed it is nice to have something tasty I can eat in just a few minutes and the calories and fat can be burnt off in no time",Tasty but..,1335225600,,,
181315,5,True,"06 18, 2015",A1KB2IX3MV2K8P,B000WR8TT0,Lorrie A. Yeschick,"good price, nice garlic powder!",Five Stars,1434585600,,{'Size:': ' 1-Pack'},
372105,5,True,"03 27, 2012",A2NETQRG6JHIG7,B002674AZQ,Qrysta White,"I couldn't agree more with the customer who says you will be hooked.  This is one pricey love but I've been fond of this, ""tastes like liquid oxygen"" beverage since it got to the United States in the 80s!

Then it was practically a salon item. I even called overseas to the French offices that controlled its distribution back then and was told, ""you don't see it everywhere because we don't want it sold everywhere!"".

I started drinking it when it was $1.99 for this 50 ounce size now its nice to see it below $3 a bottle.  Once you have it you can't stand anything else I'm afraid.  I dragged in bottles via city cabs.  Then once my fingers could stand the shopping bag handles no more, I bribed delivery people to go beyond their store's delivery area to begin to get a monthly case.  Fast fwd 20 years finally I have online grocers who yes yes yes carry Volvic so my living rm looks like a Volvic storage facility at all times.

Poland Spring tastes bitter by comparison and even Figi with its great bottle and all doesn't taste as clean and refreshing as Volvic does year in and year out.  I am so glad this luxury now involves giving clean well water to those in world who had no clean water (says so right on the bottle).

There is a website that discusses the mineral content of bottled water brands.  I'll admit Volvic is certainly not high in any natural mineral but then that's why I say it tastes literally like liquid nothingness.  It isn't laden with minerals which sway the taste of water even though they're healthy for us.  I'll just have to get my minerals some other way.  Leave my water crystal clear please.

Can't believe its finally available online minus the typical $56+ in shipping fees. haaalayleuyah.  Now I can actually gift it even to people in parts of the country who have never heard of this water let alone can't lug the 40lb box from a store to their homes far away.

UPDATE
Issues with Packing.  Every box I get from Amazon of this product is a crushed box mess.  Interior Volvic box is busted open and in my last order even a bottle was missing.  So check your count when you get it.  Amazon needs to improve how they pack beverages.  That seems to be where if any you will get bashed or broken items.  Bottle liquids are heavy, that's why so many stores won't sell case sizes online.  Since Amazon is they needs to step up and not use free-post-office type weak cheap board boxes but mover quality high burst strength boxes instead.  That's what glass or weighty liquids require and that's all there is to it.  Take a lesson from some of the online liquor sources.  They Pack Right.",PERFECT WATER,1332806400,8,,"['https://images-na.ssl-images-amazon.com/images/I/61-+xXXC+wL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/618ntF3K16L._SY88.jpg']"
245410,5,True,"11 22, 2011",A1K82R24ROO2I7,B000YTA9A8,A. Cheffy,This chicken base is very smooth and melts right into whatever dish you add it to. The flavor and texture is comparable to McCormick's chicken base except this has a bit more of an onion flavor to it. This is VERY concentrated and salty so be sure to not salt your food when using this and then adjust your salt accordingly.,Fantastic chicken base!,1321920000,3,"{'Size:': ' 1 Pound (Pack of 6)', 'Flavor:': ' Chicken'}",
743039,5,True,"01 19, 2016",A32IWWRC088BO4,B00EIB0T6W,Velma K. Mayberry,Love this flavor.,Five Stars,1453161600,,{'Package Quantity:': ' 1'},
1010881,5,True,"01 21, 2017",A1RV64ORZAO4EC,B01FG08DSO,The H girls,"i love tea and that is why i love variety packs. I like the size of the loose leafs, don't fall through infuser",i love tea and that is why i love variety packs,1484956800,,,
983690,5,True,"01 25, 2018",A1M9I3V386H8CY,B019GDV5KK,Medina Crawford,Fresh crunchy and delicious.,Five Stars,1516838400,,{'Size:': ' 1 Lb'},
120489,5,False,"04 26, 2016",A56N8QVJAITOJ,B000IXWD9K,Crafty carol,"What great taste! Fresh and delicious.
Really enjoy these for after school snacks!",Great,1461628800,,{'Size:': ' 1.53 Ounce (Pack of 18)'},
336500,5,True,"03 13, 2017",AHVV0Z1JWRHB2,B001I8BOBW,buckeye,Good coffee.,Coffee,1489363200,,,
586658,5,True,"12 4, 2015",A3QSAT284PVZ2R,B007FS8AL6,LoneWolf,It is so good! Not too sweet. Chewy.,It is addicting!,1449187200,,,
332155,5,False,"06 18, 2013",A15YFQCKQUTLBT,B001HTG8YA,Sally A. Larhette,"This R.W.Knudsen Orgaic Very Veggie Lo Sodium is  fresh and good tasting...Great for green drinks with Kale, Dill, Cilantro,
whatever you like...threw in a garlic scape today!
Very good product....Whole Foods is where I find it. Most of the time,that is. They will order it for you.","The Best ""V8""",1371513600,,,
852694,5,True,"08 1, 2017",A2ON8RHCI80P3S,B00M5559L8,LifeStyleByTheBook,as described.,Five Stars,1501545600,,{'Flavor:': ' Imperial White Tea'},
124492,4,True,"08 17, 2014",A1BCIN2V1TAJ0,B000JZEABG,EARL W LIVINGSTON,thanks,Four Stars,1408233600,,{'Size:': ' 6-Pound'},
240153,3,True,"04 23, 2015",A1A2JR2I3VTULM,B000X5229E,Alice,"Excellent product!! A simple way to add flavor to soups and gravies. The ""Five Star Chef"" of the New York Hilton couldn't do any better.",Excellent product!,1429747200,,,
443396,5,True,"11 10, 2014",A3TY5DIETPVIO0,B00434J6YK,Kindle Customer,Delicious as always.  Packaged nicely and fresh.  Would purchase again.,Packaged nicely and fresh,1415577600,,"{'Size:': ' Pack of 6', 'Flavor:': ' Dark Chocolate'}",
436423,4,True,"12 4, 2014",AMMFQB7S11SKI,B003YKP1Y8,Paola,"Flavor is what you'd expect from vanilla it gets the job done and this is a simple protein without a ton of additives like some of the other more ""serious"" and ""leaner"" proteins (ON, MTS,etc) if you want something simple with good macros this is it. Can be mixed nicely with oats which I do every morning or also of course as a post W/O shake. Scooper took basically getting to half of the tub to find though which was a little annoying.","... is a simple protein without a ton of additives like some of the other more ""serious"" and ""leaner"" proteins ...",1417651200,,"{'Size:': ' 2lb', 'Flavor:': ' French Vanilla'}",
82360,5,True,"08 5, 2016",A1PHPMBFRNX0DE,B000F4DKAI,MOMTHEGARDNER,PERFECT!,Five Stars,1470355200,,,
209960,5,True,"01 12, 2015",A298M9Y7GBO5AE,B0013P3KC6,Marlene Holden,I can't tell the difference from white sugar but is a little pricey!,A greatly alternative to white sugar!,1421020800,,"{'Size:': ' 2.5 lb', 'Flavor:': ' 100% Pure'}",
115363,5,True,"08 16, 2014",A1T9TED6MEIF2O,B000HGA782,Patrick,"These are great as snacks, to put in lunches, or take on a hike.  And you can't beat the prices on Amazon!",These are great as snacks,1408147200,,,
951441,5,True,"02 20, 2017",A19IHUSRWMO9OF,B010ULFOWC,miguel,very convenient,Lazy Coffee Drinker,1487548800,,"{'Size:': ' 30.5 oz Canister', 'Flavor:': ' Classic'}",
1104412,2,True,"10 30, 2015",AOXGB80KXV6XM,B00EQROCPC,KMLB,"Mangosteen is hands down my favorite fruit, but so hard to find fresh. I hoped this would be as good as fresh fruit, but found the flavor to be lacking. If you're looking for something sweet and natural, this does the trick. If you're looking for that beautiful mangosteen flavor, you sadly won't find it here.","Mangosteen is hands down my favorite fruit, but so hard to find fresh",1446163200,,,
595438,4,True,"07 29, 2014",A1OZSV9W1QF9EV,B007R8UZIA,Contented Retiree,Very smooth flavoured coffee.,Four Stars,1406592000,,"{'Flavor:': ' Medium Roast, Vanilla Crme'}",
361846,4,True,"04 3, 2017",ASCVRI1J05PYV,B001UO90BA,DesertScottAZ,Decent tea. Crazy caffeine content.,Four Stars,1491177600,,{'Size:': ' 500 Grams (1/2 Kilo)'},
153670,3,True,"08 31, 2014",A2RF3JEYXD6BKJ,B000PGQQES,Anna,This is a mediocre Earl Grey tea. It doesn't compare to Tazo.,decent Earl Grey,1409443200,,,
1066893,5,True,"02 27, 2015",AKXM2VGBYGS1E,B004E4FUGW,Sheila Hashway,A+++++. Fabulous crate and ship. Exactly as described,Five Stars,1424995200,,,
228056,4,True,"11 27, 2017",A4AP6Z0D9RWAL,B000VK3RPY,S.A.S.,Great stuff.,Love it!!,1511740800,,,
439401,1,True,"12 30, 2013",A2XIK5M8J6QAMU,B003ZXFWP2,Terrianne Neill,This product has way too many pretzels!!!!! It should have had more crackers and bread bites. It just isn't that good!,It should be called pretzel mix!,1388361600,2,{'Size:': ' 3 Boxes'},
230192,5,False,"05 5, 2011",ABLOQZIL42W7I,B000VZTTQ0,kone,"Back in the 1960's my Dad, who had a notorius sweet tooth used to bring home delicious individually wrapped licorice toffee in a slim cardboard box.  My sisters and I would snitch these taste gems if he were so careless to leave the box out on the counter unguarded.  These green and black wrapped treats were the best licorice toffee I had ever sampled.  Years (decades) later, wanting to share the same treat with my children, I went on the net to find my childhood taste treat, only to learn that Callard and Boser went out of business!  My search then began for a suitable quality replacement, and although I have found several worthy competitors, this product, Walkers Royal Toffees, is very close to the deliciousness of Callard and Boser's toffee.  This is a 5.5 pound bag, so there is plenty to go around.  They make a great appetizer treat at social gatherings like birthdays, graduations, and even marriages.  They will go fast, as they are so good, so I recommend buying two bags and saving some extra for the after party wind-down.  Absolutely delicious taste treat.

kone",Delicious Replacement to Callard and Boser LIcorice Toffee,1304553600,12,,
312175,5,False,"04 28, 2008",AXQIHSF9KK7CO,B001EO5SFI,Howard,"If you have never tried these, you really must.  These beans are very good for you, and so yummy.  My spouse makes them in the pressure cooker.",Fabulous Beans,1209340800,12,,
78508,5,False,"09 9, 2008",A2D72VZ2YNPSFG,B000EVMNMI,Zombunny,I do... Every time I eat one of these gummies I am reminded of my youth...,Remember biting the top and pretending to drink the cola out?,1220918400,,{'Flavor:': ' Super Cola Bottles'},
627062,5,True,"01 15, 2018",A233D1GEZOGB1Y,B009LHVI9A,JM,"Best instant coffee I have had. I do not drink instant, but one day this was provided as my only coffee choice and I could not believe how much I enjoyed it. Great little size to toss in my lunch bag or keep handy at work.",Very tasty,1515974400,,"{'Size:': ' Single Serve Sticks', 'Flavor:': ' Decaf'}",
405020,5,True,"02 9, 2017",A386IMAUR9GMKW,B002YLGA0W,68droptop,Great price and a quality kernel.  Use this in my 8oz popper frequently.,Five Stars,1486598400,,{'Size:': ' (1) 12.5 lbs.'},
319890,1,True,"06 28, 2013",AS93XK4IJMBVN,B001EQ5S7E,Sarkino williams,I did not like this jerky at all the meat has no taste you just taste pepper. I gave it to my co workers and they liked it so I don't know you just have to try it for yourself.,Bad,1372377600,,"{'Size:': ' 3.1 Ounce (Pack of 4)', 'Flavor:': ' Hot and Spicy'}",
344256,1,True,"10 27, 2017",A442OJQACF43,B001M1JDMM,Kevin,Get ANYTHING else.,Not very good coffee,1509062400,,,
804536,5,True,"09 23, 2014",A1NE8Y9UD2447X,B00IC8S8YW,momofgus,These were a great buy.  We eat them plain and I usually add a couple of tablespoons daily to my homemade granola portions.  I keep them refrigerated to maintain freshness and love the fact there is no salt.,These were a great buy. We eat them plain and I usually ...,1411430400,4,"{'Size:': ' 5 Pounds', 'Flavor:': ' Conventional'}",
539203,5,True,"05 31, 2016",A2051NSV4V6XG9,B005OKVSNO,S.C.,Excellent seasoning for people on a low sodium regimen. You won't miss the salt.,Five Stars,1464652800,,,
87240,5,True,"07 10, 2006",A3UKWQS8SRW6IO,B000FBM54S,OrchidSlayer,"If you love ginger or any of the other Destrooper cookies, you will like these.  They are light and crispy, not at all like a chewy ginger snap. Not too strongly spiced and with small bits of delicious candied ginger. Very good.",Excellent,1152489600,9,"{'Size:': ' 3.35-Ounce Units (Pack of 12)', 'Flavor:': ' Ginger'}",
702852,5,True,"10 9, 2016",A39IT1O78MRODJ,B00D3M2QP4,Hm1117tx,"Low sugar, tasty and convenient Couldn't ask for much more!","Low sugar, tasty and convenient Couldn't ask for much ...",1475971200,,"{'Size:': ' 12 Bars', 'Flavor:': ' Variety Pack'}",
132484,5,False,"03 11, 2009",AH6FF8PRYQNP1,B000LKZ3I8,DJDoDo,"I have tried the chocolate version of this, but the strawberry is totally not bad! It tastes like strawberry ice-cream, if you know what I mean. Reminds me of childhood with strawberry milkshake. This is just perfect, organic, and yummy!",This is goot too!,1236729600,,{'Flavor:': ' Strawberry'},
554217,3,True,"12 24, 2015",A10NLK6XJM2N7A,B0064Y4ZKM,hyewon lee,I do not drink as often I should its taste I do not agree,Three Stars,1450915200,,{'Flavor:': ' Dandelion'},
317004,4,True,"11 27, 2015",A1E7XKKA8ACMHJ,B001EQ4SHK,Windy Blues,Seems pretty sweet for unsweetened cocoa. I used this for brownies and cut the sugar by a third because it's so sweet. I also added some dark chocolate powder for balance and the brownies came out great.,Four Stars,1448582400,,{'Flavor:': ' Natural Unsweetened'},
443642,5,True,"08 8, 2016",A22EW3V02XT6XE,B00437EN2C,Kathy K.,"I just tried these for the first time to make a summer roll, and I love them. When soaked just a short time in warm water they are so pliable and stretchy - they make it really easy to make a roll and then make the roll easy to eat. Instead of putting veggies in them and using a dipping sauce, I spiralized the veggies and made the sauce (almond butter, teriyaki sauce, lime juice, and Thai chili paste) and coated all the veggies before making the rolls.

And the price is terrific. I took them out of the package very carefully and just now read a reviewer who said they had found some broken ones farther down, so I've taken more care now where I store them. I made four rolls today and will keep two in the fridge until tomorrow's lunch, so I'll get to see if they hold up overnight. But so far I think they're great!",Delighted!,1470614400,8,,
291556,5,True,"12 21, 2017",A1B97GTQ2Z22S7,B001BZEGN0,Jay,We have always had success with this brand. Made in Canada (which we are comfortable with using).,Made North of the Border,1513814400,,,
136753,5,True,"07 21, 2017",ANYZVV5CYAD45,B000LQORJS,Mark A Hoyle,Great for a mid morning or mid afternoon snack.,Nongshim Shin Big Bowl Noodle Soup.,1500595200,,"{'Size:': ' 4 Ounce (Pack of 12)', 'Flavor:': ' Shin Big Bowl'}",
824388,2,True,"03 19, 2015",A2S9AVD81883ML,B00JVYY5U2,tisha929,"I am not completely a fan. Although it smells like this will taste amazing, I have yet to find the perfect cream/milk/sugar/ combo to really enjoy it. It just smells good. Doesn't have much of a taste!",Although it smells like this will taste amazing,1426723200,,"{'Size:': ' 24 Count', 'Flavor:': ' Dulce De Leche Decaf'}",
634225,5,True,"08 25, 2017",A2LAE60MIB8CQP,B00A8FH3UM,Mr. Super Happy,This helps my dogs stay regular!,Five Stars,1503619200,,,
902026,5,True,"11 29, 2014",A1YZTQUQXVQJBR,B00SRTD2SI,Bill McGonigle,"Not the strongest green ever, but very nice flavor.  I used 4 tablespoons for two liters at 190* F, and that came out pungent enough to enjoy without being overpowering.  I weighed the bag fresh out of the shipping box and it came in at 1.045 lbs on my digital scale, so it's an honest pound of tea.

The vendor's shopping site says the organic certification is via USDA.  I'd rather see an independent certification since I don't really trust the USDA process, but I don't think we need to worry about any scams here.  Will reorder.",Affordable Daily Drinker,1417219200,,,
407332,5,True,"02 8, 2014",A1OXJBVZYT24VX,B00333ADXK,Mac Buddha,"I like garlic. I mean I REALLY like garlic. The puny jars that my grocery store sells sometimes doesn't last the week. This large container lasts me a while, and whenever something needs garlic added (what doesn't?), the jar is handy in the fridge to spoon out a couple of spoonfuls. As Alice May Brock (of 'Alice's Restaurant') said Tomatoes and oregano make it Italian; wine and tarragon make it French. Sour cream makes it Russian; lemon and cinnamon make it Greek. Soy sauce makes it Chinese; garlic makes it good.",Large jar,1391817600,,,
915137,5,True,"06 10, 2016",A33EZBCCFC850F,B00US7LXUQ,B. Bauman,Great for skin ; hair and cooking!,YES,1465516800,,,
941812,5,True,"09 26, 2016",A3JAEM9GKW9KT9,B00Y9M2706,FlyfishMontana,"If you're into these tings, this is a good buy!",Loved them,1474848000,,{'Size:': ' 5 Lb'},
1076130,5,True,"06 4, 2016",A19B2QR82TPOJJ,B005IXURTI,Stacy Lenderman,first time using the California Style garlic salt and really like it. great flavor,... time using the California Style garlic salt and really like it. great,1464998400,,,
390756,5,True,"01 28, 2014",A2V94G8DW38A5K,B002EM2JWE,Kindle Customer,"I bought these because I have a larger bottle that I have been reusing since March 2013. I love it! These smaller bottles are great for purses, backpacks, and bedside tables.",Great size,1390867200,,"{'Size:': ' 12-Pack', 'Style:': ' 330 ml'}",
42459,3,False,"12 30, 2014",A2T359ARQSZPVK,B000AY9VCE,bookworm 2,these are okay. a little too sweet and somewhat gummy but okay if you are late for work eating on the run. at least the name makes you think they a healthier than Little Debbie...,okay,1419897600,,{'Style:': ' Strawberry'},
698178,5,True,"11 7, 2017",A18O0N0QI055FU,B00CXAEDH6,Kindle Customer,Yum!,Yummy!,1510012800,,{'Size:': ' 15 Ounce'},
21470,5,True,"11 13, 2016",A3GO16S0IX237I,B0002YB210,Chang L.,good,Five Stars,1478995200,,{'Size:': ' 17 ounce'},
198751,5,False,"02 17, 2018",A2XPANH557PBD4,B0011374CM,Sydney,"These are amazing! Someone mentioned they are expensive, but I respectfully disagree.  10 packets for less than $7 works out to about 70 cents! Add a shot of tequila & you have a margarita for less than $5!! I take these to  restaurants, not to save money, but to save on carbs. Even the skinny margaritas you can get at a restaurant are full of carbs. I order a shot of tequila and a glass of water and voil !!",Wonderful product!,1518825600,,,
544044,5,True,"02 7, 2013",A22VK1N4EYPEL,B005TY24BK,Laurel A Dudgeon,This is the best coconut oil on the market. I use it on my skin and I cook with it.,Simply the best,1360195200,2,,
670639,5,True,"03 4, 2016",A18AAWRFIMCD54,B00BUKL666,mizzeliz,I am a fan of these bars and they are expensive in the local stores. I love the taste and the carb count is low too. These are my favorites.,Great price for a fine bar.,1457049600,,,
1022194,5,True,"01 7, 2018",A11YCJDAMGGNT2,B0001M11EQ,sunshineca,Fresh and plentiful. Thank you Frontier.,Five Stars,1515283200,,{'Size:': ' 1 Pound'},
217153,2,True,"12 8, 2016",A1Z6ZJE95A5RJM,B0014WYXYW,MMG,Hardly any flavor,Two Stars,1481155200,,,
617981,2,True,"04 26, 2015",A27BSSEFWA6XG1,B0094IXKME,NYSweetMom,"It's just that it is so very dry.  It's dry and papery and nothing like the steamed edamame.  I know that the product is roasted so I should have considered this before purchasing it, but it just is not something I enjoy eating.  Perhaps might revise this review if I can figure out to make it more palatable.  I'm going to go back to grabbing the frozen edamame and just steaming those for snacks and appetizers.",Too dry,1430006400,2,{'Size:': ' 27 oz Jar'},
918812,4,True,"07 18, 2016",A1FO8AZ5UQYSB7,B00VMAC35M,Jeep Daddy,Good coffee,Good coffee,1468800000,,,
900803,5,True,"09 2, 2017",A30Y6NRNV6J5HS,B00SGCP8A6,coozee,it was a gift they love it i was told,Five Stars,1504310400,,,
782112,5,True,"08 11, 2014",AEAS1XKALZXNG,B00H42AL6A,Susan C. Messina,Perfect size; good variety; and very good,Five Stars,1407715200,,{'Flavor:': ' Chocolate and Nuts'},
624282,5,True,"11 2, 2014",A2EP31KUZLU0K4,B009E7YBEQ,Trains Rock,I really like this product.  I generally use it as an addition to other foods such as oatmeal.  I also use it as a spread when mixed with water.  I like it as it has the flavor and most of the nutrition of regular peanut butter without all the fat and calories.  I now buy the PB2 in 16-ounce jars as its more convenient for me.  One word of caution is that Amazon evidently uses multiple suppliers and the prices per jar vary greatly when buying the multiple packs.  In one case a 4 pack is just under $8 per jar while the 6 pack is over $11.66 a jar.  I highly recommend this product.,Excellent,1414886400,,,
514200,5,True,"11 24, 2013",A2JD9JG4B8FQN,B005A1L468,Tanya R,A rice alternative and tasty. Expand your palate from the mundane and try alternatives to standard rice or potatoes. Easy to fix.,Quinoa: A Tasty Alternative to Rice or Potatoes,1385251200,4,,
152621,5,True,"09 7, 2014",A2MI068GEKE6SO,B000P6MSOU,Gail D. Carrero,"I have ordered this product before with the exact same results, excellent! Fresh, nothing broken, and packaged well. I recommend this product highly.",Every Order Perfect,1410048000,,,
716534,5,True,"02 28, 2018",A3NFPFH7CONTLC,B00DLKFUHO,DmichelleW,These are yummy. Nice kick with a little tang.,Nice kick with a little tang,1519776000,,,
987531,4,True,"05 29, 2018",A3QX84BEBQM7CW,B01ARX1FOE,Dragon-Fox,Awesome thanks have a low sugar gluten free pancake mix!  Makes pancakes in a flash!  The GF banana version is the best though!!,Awesome thanks have a low sugar gluten free pancake mix,1527552000,,,
